=========================================================
FLAT PERFORMANCE ANALYSIS REPORT
=========================================================
Instructions   % Total   Function Name
---------------------------------------------------------
298050021      99.95    % sha_compress
61256          0.02     % __tunable_is_initialized
47080          0.02     % _dl_rtld_di_serinfo
25488          0.01     % _dl_fatal_printf
10805          0.00     % _dl_mcount
4697           0.00     % __tunable_get_val
3185           0.00     % __nptl_change_stack_perm
1802           0.00     % _dl_audit_symbind_alt
1538           0.00     % __tls_get_addr
1018           0.00     % _dl_debug_state
857            0.00     % timer_settime
793            0.00     % _IO_vfprintf
515            0.00     % __default_morecore
478            0.00     % parse_printf_format
342            0.00     % _dl_get_tls_static_info
251            0.00     % __nss_database_lookup
249            0.00     % __strtof128_nan
175            0.00     % _flushlbf
171            0.00     % _IO_flush_all
170            0.00     % main
126            0.00     % _dl_deallocate_tls
110            0.00     % .text
105            0.00     % _dl_allocate_tls_init
84             0.00     % _dl_catch_exception
84             0.00     % _IO_file_overflow
79             0.00     % erand48_r
75             0.00     % _dl_x86_get_cpu_features
72             0.00     % __libc_start_main
66             0.00     % _IO_do_write
64             0.00     % _IO_printf
63             0.00     % _IO_file_xsputn
59             0.00     % __sbrk
58             0.00     % __cxa_finalize
56             0.00     % .plt.sec
52             0.00     % _IO_file_doallocate
49             0.00     % __libc_malloc
48             0.00     % _IO_default_xsgetn
45             0.00     % _IO_default_xsputn
44             0.00     % __nptl_death_event
44             0.00     % __pthread_mutex_lock
39             0.00     % __cxa_atexit
38             0.00     % _IO_file_write
35             0.00     % __sigsetjmp
34             0.00     % _init
34             0.00     % pthread_mutex_unlock
33             0.00     % __cxa_at_quick_exit
29             0.00     % _IO_doallocbuf
29             0.00     % _IO_setb
28             0.00     % __libc_init_first
26             0.00     % writev
22             0.00     % _dl_signal_error
21             0.00     % _IO_file_sync
20             0.00     % __register_atfork
18             0.00     % brk
18             0.00     % _IO_file_setbuf
13             0.00     % __do_global_dtors_aux
13             0.00     % __call_tls_dtors
12             0.00     % _start
10             0.00     % register_tm_clones
8              0.00     % __write
7              0.00     % _init
7              0.00     % exit
6              0.00     % _exit
6              0.00     % fstat
5              0.00     % deregister_tm_clones
5              0.00     % _dl_audit_preinit
4              0.00     % .plt.sec
4              0.00     % _fini
3              0.00     % _IO_file_stat
3              0.00     % _setjmp
2              0.00     % .plt.got
2              0.00     % frame_dummy
2              0.00     % .plt.got
=========================================================
